"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1993","1993","CAD","Canadian Dollar","6","Millions",,,744608,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1994","1994","CAD","Canadian Dollar","6","Millions",,,789507,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1995","1995","CAD","Canadian Dollar","6","Millions",,,828973,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1996","1996","CAD","Canadian Dollar","6","Millions",,,857023,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1997","1997","CAD","Canadian Dollar","6","Millions",,,906895,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1998","1998","CAD","Canadian Dollar","6","Millions",,,940539,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","1999","1999","CAD","Canadian Dollar","6","Millions",,,1007917,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2000","2000","CAD","Canadian Dollar","6","Millions",,,1106063,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2001","2001","CAD","Canadian Dollar","6","Millions",,,1144535,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2002","2002","CAD","Canadian Dollar","6","Millions",,,1193687,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2003","2003","CAD","Canadian Dollar","6","Millions",,,1254742,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2004","2004","CAD","Canadian Dollar","6","Millions",,,1335724,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2005","2005","CAD","Canadian Dollar","6","Millions",,,1421573,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2006","2006","CAD","Canadian Dollar","6","Millions",,,1496574,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2007","2007","CAD","Canadian Dollar","6","Millions",,,1577660,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2008","2008","CAD","Canadian Dollar","6","Millions",,,1657040,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2009","2009","CAD","Canadian Dollar","6","Millions",,,1571334,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2010","2010","CAD","Canadian Dollar","6","Millions",,,1666046,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2011","2011","CAD","Canadian Dollar","6","Millions",,,1774063,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2012","2012","CAD","Canadian Dollar","6","Millions",,,1827205,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2013","2013","CAD","Canadian Dollar","6","Millions",,,1902249,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2014","2014","CAD","Canadian Dollar","6","Millions",,,1994897,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2015","2015","CAD","Canadian Dollar","6","Millions",,,1990442,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2016","2016","CAD","Canadian Dollar","6","Millions",,,2025533,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2017","2017","CAD","Canadian Dollar","6","Millions",,,2140641,,
"CAN","Canada","B1_GA","Gross domestic product (output approach)","C","Current prices","2018","2018","CAD","Canadian Dollar","6","Millions",,,2235672,,
